data,valor
2003-01-01,96.15
2003-02-01,98.67
2003-03-01,103.41
2003-04-01,102.19
2003-05-01,100.3
2003-06-01,98.58
2003-07-01,103.05
2003-08-01,101.47
2003-09-01,102.87
2003-10-01,105.06
2003-11-01,101.95
2003-12-01,99.74
2004-01-01,98.59
2004-02-01,99.45
2004-03-01,111.98
2004-04-01,107.36
2004-05-01,106.03
2004-06-01,107.0
2004-07-01,111.47
2004-08-01,110.65
2004-09-01,109.21
2004-10-01,108.89
2004-11-01,109.59
2004-12-01,107.56
2005-01-01,103.52
2005-02-01,104.0
2005-03-01,115.42
2005-04-01,112.35
2005-05-01,110.86
2005-06-01,111.5
2005-07-01,113.15
2005-08-01,115.15
2005-09-01,110.95
2005-10-01,111.33
2005-11-01,111.73
2005-12-01,111.25
2006-01-01,108.55
2006-02-01,107.8
2006-03-01,119.09
2006-04-01,112.61
2006-05-01,117.19
2006-06-01,114.4
2006-07-01,119.41
2006-08-01,121.06
2006-09-01,116.21
2006-10-01,119.33
2006-11-01,118.67
2006-12-01,116.3
2007-01-01,114.79
2007-02-01,113.33
2007-03-01,125.11
2007-04-01,120.29
2007-05-01,123.9
2007-06-01,122.38
2007-07-01,127.85
2007-08-01,129.05
2007-09-01,123.24
2007-10-01,129.17
2007-11-01,125.88
2007-12-01,122.43
2008-01-01,121.86
2008-02-01,121.91
2008-03-01,128.99
2008-04-01,129.48
2008-05-01,128.92
2008-06-01,130.59
2008-07-01,136.53
2008-08-01,133.87
2008-09-01,132.6
2008-10-01,132.8
2008-11-01,124.58
2008-12-01,118.9
2009-01-01,115.2
2009-02-01,115.26
2009-03-01,127.81
2009-04-01,123.09
2009-05-01,124.41
2009-06-01,125.61
2009-07-01,131.44
2009-08-01,130.7
2009-09-01,129.81
2009-10-01,132.48
2009-11-01,129.62
2009-12-01,129.23
2010-01-01,125.81
2010-02-01,127.61
2010-03-01,143.44
2010-04-01,136.87
2010-05-01,136.52
2010-06-01,136.09
2010-07-01,141.64
2010-08-01,141.55
2010-09-01,139.46
2010-10-01,139.33
2010-11-01,139.68
2010-12-01,136.69
2011-01-01,132.66
2011-02-01,136.18
2011-03-01,144.93
2011-04-01,139.89
2011-05-01,143.23
2011-06-01,141.75
2011-07-01,145.19
2011-08-01,147.51
2011-09-01,142.3
2011-10-01,142.02
2011-11-01,141.87
2011-12-01,139.23
2012-01-01,133.34
2012-02-01,135.35
2012-03-01,146.35
2012-04-01,139.85
2012-05-01,144.56
2012-06-01,142.28
2012-07-01,147.46
2012-08-01,149.91
2012-09-01,141.6
2012-10-01,147.71
2012-11-01,144.15
2012-12-01,139.52
2013-01-01,139.32
2013-02-01,136.14
2013-03-01,148.01
2013-04-01,149.79
2013-05-01,147.03
2013-06-01,144.87
2013-07-01,152.13
2013-08-01,151.81
2013-09-01,147.27
2013-10-01,151.9
2013-11-01,147.79
2013-12-01,145.77
2014-01-01,142.72
2014-02-01,143.53
2014-03-01,149.03
2014-04-01,147.69
2014-05-01,147.14
2014-06-01,140.88
2014-07-01,149.85
2014-08-01,148.27
2014-09-01,148.12
2014-10-01,149.7
2014-11-01,144.92
2014-12-01,145.48
2015-01-01,138.74
2015-02-01,136.56
2015-03-01,149.49
2015-04-01,142.42
2015-05-01,139.81
2015-06-01,138.53
2015-07-01,143.13
2015-08-01,140.83
2015-09-01,138.06
2015-10-01,140.18
2015-11-01,135.94
2015-12-01,136.22
2016-01-01,128.25
2016-02-01,130.81
2016-03-01,140.27
2016-04-01,136.01
2016-05-01,133.54
2016-06-01,135.26
2016-07-01,136.72
2016-08-01,138.16
2016-09-01,133.86
2016-10-01,132.73
2016-11-01,132.36
2016-12-01,133.34
2017-01-01,128.47
2017-02-01,129.39
2017-03-01,141.9
2017-04-01,133.75
2017-05-01,136.0
2017-06-01,134.88
2017-07-01,138.43
2017-08-01,140.14
2017-09-01,134.86
2017-10-01,136.07
2017-11-01,135.08
2017-12-01,135.78
2018-01-01,132.12
2018-02-01,129.94
2018-03-01,141.57
2018-04-01,139.09
2018-05-01,132.3
2018-06-01,136.95
2018-07-01,141.07
2018-08-01,143.42
2018-09-01,135.77
2018-10-01,139.84
2018-11-01,137.65
2018-12-01,136.32
2019-01-01,133.56
2019-02-01,133.9
2019-03-01,139.02
2019-04-01,139.67
2019-05-01,139.38
2019-06-01,135.11
2019-07-01,143.15
2019-08-01,141.95
2019-09-01,138.34
2019-10-01,142.96
2019-11-01,138.91
2019-12-01,137.49
2020-01-01,134.05
2020-02-01,134.52
2020-03-01,136.2
2020-04-01,118.53
2020-05-01,119.65
2020-06-01,126.04
2020-07-01,136.07
2020-08-01,135.87
2020-09-01,137.33
2020-10-01,139.99
2020-11-01,138.34
2020-12-01,139.55
2021-01-01,131.88
2021-02-01,134.52
2021-03-01,144.41
2021-04-01,139.07
2021-05-01,137.65
2021-06-01,137.97
2021-07-01,143.17
2021-08-01,142.1
2021-09-01,138.89
2021-10-01,138.24
2021-11-01,140.06
2021-12-01,142.02
2022-01-01,132.56
2022-02-01,136.05
2022-03-01,148.21
2022-04-01,142.1
2022-05-01,142.77
2022-06-01,141.93
2022-07-01,148.85
2022-08-01,149.01
